FID,IID,SOL,C1,C2,C3,C4
0,C10416,0,-0.041614,0.031862,0.0105792,0.000466633
0,C10419,0,-0.0452675,0.0400632,0.000709867,0.00448668
0,C10422,0,-0.00843889,0.0122518,0.0151136,-0.00988502
0,C10424,0,-0.040965,0.0249412,0.0144709,-0.00318297
0,C10428,0,-0.0428028,0.0469369,-0.00578388,0.00957576
0,C10429,0,-0.0106753,0.0293737,0.000632596,0.00511259
0,C10431,0,-0.0425384,0.0370229,0.00283191,0.00311823
0,C10437,0,-0.0447071,0.0413041,-0.0013244,0.00774195
0,C10440,0,-0.00708919,0.018895,0.00844661,-0.0020303
0,C10441,0,-0.0360813,0.0293163,0.00699341,0.000541647
0,C10442,0,0.0161634,0.00901651,0.0155704,-0.0082762
0,C10446,0,-0.0380542,0.0401649,-0.00335747,0.00914003
0,C10450,0,-0.0113955,0.0162498,0.0113619,-0.00870395
0,C10459,0,-0.0191549,0.0134687,0.0194112,-0.00761266
0,C10463,0,-0.0328915,0.0397697,-0.00564489,0.00908102
0,C10465,0,-0.0292954,0.0245889,0.0124619,-0.00318437
0,C10466,0,-0.0471183,-0.0404571,0.000986438,0.00580475
0,C10471,0,-0.0309719,0.0250089,0.00972074,-0.000168571
0,C10472,0,0.0336268,0.00249501,0.011145,-0.00654395
0,C10473,0,0.00128306,0.0163326,0.00912121,-0.00186281
0,C10474,0,0.0358664,0.00276037,0.0141832,-0.00746559
0,C10475,0,0.0179864,0.00612572,0.0121139,-0.00618085
0,C10477,0,-0.00855098,0.0155676,0.013129,-0.00317072
0,C10484,0,-0.0295852,0.0206537,0.0139723,-0.00417594
0,C10485,0,0.0494018,0.00397343,0.00393486,-0.00403365
0,C10491,0,-0.0192697,0.03117,-0.00110347,0.00731505
0,C10497,0,-0.0455033,0.0336784,0.00882149,-0.00110125
